"No.","Time","Source","Destination","Protocol","Length","Info"
"4171","32.103147653","192.168.3.246","93.184.215.201","TCP","96","[TCP Dup ACK 4141#10] 44046  >  443 [ACK] Seq=2012 Ack=30855951 Win=1649792 Len=0 TSval=1862677784 TSecr=3603071306 SLE=31428551 SRE=31561551 SLE=31386551 SRE=31387951 SLE=31277351 SRE=31287151"
"4172","32.103508967","93.184.215.201","192.168.3.246","TLSv1.3","16868","Continuation Data"
"4173","32.103542456","93.184.215.201","192.168.3.246","TLSv1.3","9868","Continuation Data"
"4174","32.104373919","192.168.3.246","93.184.215.201","TCP","96","[TCP Dup ACK 4141#11] 44046  >  443 [ACK] Seq=2012 Ack=30855951 Win=1649792 Len=0 TSval=1862677784 TSecr=3603071306 SLE=31428551 SRE=31588151 SLE=31386551 SRE=31387951 SLE=31277351 SRE=31287151"
"4175","32.105320345","93.184.215.201","192.168.3.246","TLSv1.3","9868","[TCP Previous segment not captured] , Continuation Data"
"4176","32.105320439","93.184.215.201","192.168.3.246","TLSv1.3","8468","Continuation Data"
"4177","32.105930337","93.184.215.201","192.168.3.246","TLSv1.3","18268","Continuation Data"
"4178","32.106095338","93.184.215.201","192.168.3.246","TLSv1.3","1468","[TCP Previous segment not captured] , Continuation Data"
"4179","32.106105774","192.168.3.246","93.184.215.201","TCP","96","[TCP Dup ACK 4141#12] 44046  >  443 [ACK] Seq=2012 Ack=30855951 Win=1649792 Len=0 TSval=1862677787 TSecr=3603071306 SLE=31589551 SRE=31625951 SLE=31428551 SRE=31588151 SLE=31386551 SRE=31387951"
"4180","32.108990940","93.184.215.201","192.168.3.246","TCP","2868","[TCP Out-Of-Order] 443  >  44046 [ACK] Seq=30879751 Ack=2012 Win=70144 Len=2800 TSval=3603071327 TSecr=1862677775"
"4181","32.109009545","93.184.215.201","192.168.3.246","TCP","2868","[TCP Out-Of-Order] 443  >  44046 [ACK] Seq=30882551 Ack=2012 Win=70144 Len=2800 TSval=3603071327 TSecr=1862677775"
"4182","32.109308921","93.184.215.201","192.168.3.246","TCP","1468","[TCP Out-Of-Order] 443  >  44046 [PSH, ACK] Seq=30885351 Ack=2012 Win=70144 Len=1400 TSval=3603071327 TSecr=1862677775"
"4183","32.109854977","192.168.3.246","93.184.215.201","TCP","96","[TCP Dup ACK 4141#13] 44046  >  443 [ACK] Seq=2012 Ack=30855951 Win=1649792 Len=0 TSval=1862677790 TSecr=3603071306 SLE=30879751 SRE=30886751 SLE=31639951 SRE=31641351 SLE=31589551 SRE=31625951"
"4184","32.113285054","93.184.215.201","192.168.3.246","TCP","2868","[TCP Out-Of-Order] 443  >  44046 [ACK] Seq=30886751 Ack=2012 Win=70144 Len=2800 TSval=3603071331 TSecr=1862677779"
"4185","32.113458493","93.184.215.201","192.168.3.246","TCP","18268","[TCP Out-Of-Order] 443  >  44046 [ACK] Seq=30889551 Ack=2012 Win=70144 Len=18200 TSval=3603071331 TSecr=1862677779"
"4186","32.113809384","93.184.215.201","192.168.3.246","TCP","2868","[TCP Out-Of-Order] 443  >  44046 [PSH, ACK] Seq=30907751 Ack=2012 Win=70144 Len=2800 TSval=3603071331 TSecr=1862677779"
"4187","32.113809473","93.184.215.201","192.168.3.246","TCP","9868","[TCP Out-Of-Order] 443  >  44046 [PSH, ACK] Seq=30910551 Ack=2012 Win=70144 Len=9800 TSval=3603071332 TSecr=1862677781"
